,symbol,strike,theoPrice,Calculated Put Price,Price Difference
7246,NYMEX:LO1240705P42.5,42.5,0.007948234213644725,0.008133169398851512,-0.00018493518520678633
10319,NYMEX:LO1240705P45,45.0,0.008386032173838098,0.008591885730240202,-0.00020585355640210384
7803,NYMEX:LO1240705P47.5,47.5,0.008842680642607958,0.00907234494134337,-0.00022966429873541236
9533,NYMEX:LO1240705P50,50.0,0.009330425254717611,0.009587650896082156,-0.0002572256413645446
10,NYMEX:LO1240705P52.5,52.5,0.009859662118476137,0.010149255084791082,-0.0002895929663149447
691,NYMEX:LO1240705P55,55.0,0.010438129495899479,0.010766208325158788,-0.00032807882925930953
12626,NYMEX:LO1240705P57.5,57.5,0.011069734694371003,0.011444073771002865,-0.0003743390766318619
3694,NYMEX:LO1240705P60,60.0,0.01175282832585478,0.012183329228241752,-0.00043050090238697103
12421,NYMEX:LO1240705P62.5,62.5,0.012477722042114059,0.012977086543195222,-0.0004993645010811631
16243,NYMEX:LO1240705P65,65.0,0.013223257690787915,0.013808003816728408,-0.000584746125940493
5832,NYMEX:LO1240705P65.5,65.5,0.013371915736591078,0.013976161570810655,-0.0006042458342195769
11648,NYMEX:LO1240705P66,66.0,0.01351959550791626,0.014144266220903907,-0.0006246707129876471
20091,NYMEX:LO1240705P66.5,66.5,0.013665873391077887,0.014311953595062597,-0.0006460802039847096
18170,NYMEX:LO1240705P67,67.0,0.013810288345852018,0.014478827823206876,-0.000668539477354858
19170,NYMEX:LO1240705P67.5,67.5,0.013952340233679139,0.014644460515718646,-0.0006921202820395073
19899,NYMEX:LO1240705P68,68.0,0.014091488271404273,0.014808390237192852,-0.0007169019657885783
6817,NYMEX:LO1240705P68.5,68.5,0.014227149676921624,0.014970122383156327,-0.0007429727062347024
1517,NYMEX:LO1240705P69,69.0,0.014358698593653352,0.015129129600035165,-0.0007704310063818137
20454,NYMEX:LO1240705P69.5,69.5,0.014485465408079157,0.015284852931895883,-0.0007993875238167265
18472,NYMEX:LO1240705P70,70.0,0.01460673661112133,0.015436703935552541,-0.000829967324431212
21330,NYMEX:LO1240705P70.25,70.25,0.01466507651379001,0.015510986167620729,-0.0008459096538307193
4916,NYMEX:LO1240705P70.5,70.5,0.014721755403679815,0.015584068084372307,-0.0008623126806924925
1766,NYMEX:LO1240705P70.75,70.75,0.014776672181066708,0.015655869632697966,-0.0008791974516312584
10487,NYMEX:LO1240705P71,71.0,0.014829723314303211,0.01572630988908124,-0.0008965865747780286
9623,NYMEX:LO1240705P71.25,71.25,0.01488080297231631,0.015795307356027827,-0.0009145043837115174
652,NYMEX:LO1240705P71.5,71.5,0.014929803190503188,0.01586278031346266,-0.0009329771229594705
21990,NYMEX:LO1240705P71.75,71.75,0.014976614075607797,0.01592864723402657,-0.0009520331584187726
614,NYMEX:LO1240705P72,72.0,0.015021124056208812,0.01599282727290033,-0.0009717032166915163
14213,NYMEX:LO1240705P72.25,72.25,0.015063220186615323,0.01605524084469826,-0.0009920206580829385
21839,NYMEX:LO1240705P72.5,72.5,0.01510278851344704,0.016115810302328355,-0.0010130217888813138
1710,NYMEX:LO1240705P72.75,72.75,0.015139714515963298,0.016174460735624226,-0.001034746219660928
21725,NYMEX:LO1240705P73,73.0,0.015173883633332497,0.016231120911054844,-0.0010572372777223477
6228,NYMEX:LO1240705P73.25,73.25,0.015205181894721753,0.01628572437810686,-0.0010805424833851066
15870,NYMEX:LO1240705P73.5,73.5,0.015233496671300473,0.0163382107732599,-0.0011047141019594267
19332,NYMEX:LO1240705P73.75,73.75,0.01525871757332542,0.01638852735905713,-0.0011298097857317113
21731,NYMEX:LO1240705P74,74.0,0.015280737520418253,0.0164366308439176,-0.001155893323499347
7333,NYMEX:LO1240705P74.25,74.25,0.015299454019434555,0.01648248953864299,-0.0011830355192084356
13011,NYMEX:LO1240705P74.5,74.5,0.015314770692152146,0.01652608591837688,-0.0012113152262247344
1114,NYMEX:LO1240705P74.75,74.75,0.01532659910489198,0.01656741967517847,-0.0012408205702864883
12268,NYMEX:LO1240705P75,75.0,0.015334860964809738,0.016606511367098994,-0.0012716504022892566
